"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99725758340492,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",-40898225.434913,-40893500,-40874952.6730633,2975.2,0.95,-43928400,-37943100,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-3500.35720655869,-3480.67,-3434.38405100702,36.2,0.95,-4222.55,-2763.17,NA,NA,NA,NA,NA,NA,NA
"beta[2]",100310.696760648,100321,100420.589032317,4438.9,0.95,98242.3,102406,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-50120.9958608278,-50124.4,-50005.691263424,1518.7,0.95,-52734.2,-47664.6,NA,NA,NA,NA,NA,NA,NA
"beta[4]",84239.9139572086,84247.9,84363.2228498058,1345.4,0.95,81708,86744.7,NA,NA,NA,NA,NA,NA,NA
"beta[5]",-150064.799440112,-150010,-149936.217062172,4042.2,0.95,-154690,-145189,NA,NA,NA,NA,NA,NA,NA
"beta[6]",84634.8808238352,84629.6,84524.2996897139,1413.8,0.95,82442.6,86593.8,NA,NA,NA,NA,NA,NA,NA
"beta[7]",-1867.58050171966,-1880.3,-1953.81255648789,3397.2,0.95,-4057.24,221.319,NA,NA,NA,NA,NA,NA,NA
"beta[8]",-23694.5938412318,-23706.5,-23792.0068738541,110.4,0.95,-25244.4,-22100.7,NA,NA,NA,NA,NA,NA,NA
"beta[9]",11242.7481263747,11235.8,11256.6010328527,61.1,0.95,10098.5,12483.3,NA,NA,NA,NA,NA,NA,NA
"beta[10]",5895.82187362527,5889,5867.18461827663,710.3,0.95,3997.09,7812.26,NA,NA,NA,NA,NA,NA,NA
"beta[11]",5936.10930413917,5911.07,5762.68475445762,615.8,0.95,4055.7,7853.45,NA,NA,NA,NA,NA,NA,NA
"beta[12]",-5679.37166166767,-5699.27,-5744.0232556875,78.8,0.95,-7030,-4305.25,NA,NA,NA,NA,NA,NA,NA
"beta[13]",-4384.705275005,-4385.94,-4374.50112698476,3260.9,0.95,-6342.35,-2385.83,NA,NA,NA,NA,NA,NA,NA
"sigma",16838563.2473505,16839900,16832380.5578526,1222.9,0.95,15836700,17825000,NA,NA,NA,NA,NA,NA,NA
"zbeta0",4540.98185762847,4529.23,4470.52644886925,1102.5,0.95,3710.63,5404.77,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-40039.3303939212,-39814.2,-39284.6707303981,36.2,0.95,-48300.2,-31606.9,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",661.23899980004,661.308,661.963079793821,4438.9,0.95,647.604,675.048,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-29071.5447510498,-29073.5,-29004.6681610728,1518.7,0.95,-30587.3,-27646.8,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",35082.0546890622,35085.4,35133.3991740877,1345.4,0.95,34027.6,36125.2,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",-53.6904422115577,-53.6709,-53.6443319222419,4042.2,0.95,-55.3454,-51.9458,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",49967.8025994801,49964.7,49902.5207589956,1413.8,0.95,48673.5,51124.3,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",-369.546955294741,-372.064,-386.609688544164,3397.2,0.95,-802.824,43.7934,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",-36876.7188162368,-36895.2,-37028.3607322591,110.4,0.95,-39288.7,-34396,NA,NA,NA,NA,NA,NA,NA
"zbeta[9]",50956.299780044,50924.8,51019.0025101383,61.1,0.95,45770,56578.8,NA,NA,NA,NA,NA,NA,NA
"zbeta[10]",5595.07725654869,5588.61,5567.89735451234,710.3,0.95,3793.2,7413.76,NA,NA,NA,NA,NA,NA,NA
"zbeta[11]",5633.30960207958,5609.55,5468.73288773589,615.8,0.95,3848.82,7452.84,NA,NA,NA,NA,NA,NA,NA
"zbeta[12]",-21119.6886222755,-21193.7,-21360.1150681489,78.8,0.95,-26142.2,-16009.8,NA,NA,NA,NA,NA,NA,NA
"zbeta[13]",-1580.94683085383,-1581.39,-1577.26531605801,3260.9,0.95,-2286.79,-860.233,NA,NA,NA,NA,NA,NA,NA
"zsigma",15405.4705858828,15406.7,15399.8060997283,1222.9,0.95,14488.9,16308,NA,NA,NA,NA,NA,NA,NA
"nu",2.59086465506899,2.58449,2.56853819265064,1477.7,0.95,2.27415,2.93043,NA,NA,NA,NA,NA,NA,NA
"pred",-30943577.2445511,-30914700,-30808063.8900295,297.8,0.95,-34622200,-27219700,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.412523753861919,0.412374856119411,0.410790446031134,1471.8,0.95,0.356819106800188,0.466931351727935,NA,NA,NA,NA,NA,NA,NA
